"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"RMG-001","2026-05-12","Auth boundary","Recall routes are tenant-authenticated.","Recall, embed, status, sources, assistant, and memory routes are declared after the authenticated `/v1` boundary.","Callers need a tenant context except public pre-auth routes elsewhere.","This is a solid base for recall governance.","Keep routes authenticated and add explicit auth tests for recall endpoints.","solid","src/router.js; src/auth.js"
"RMG-002","2026-05-12","Path isolation","Non-admin embed paths stay under the tenant recall root.","`/v1/embed` resolves every absolute path and checks it equals tenant root or starts with tenant root plus path separator.","Regular tenants cannot ingest arbitrary server paths through this route.","Good server-mounted path guard for self-hosted recall.","Extract a shared containment helper and test Windows and POSIX paths.","solid","src/router.js"
"RMG-003","2026-05-12","Namespace isolation","Recall namespaces are tenant-prefixed before qmd sees them.","`nsFor` sanitizes tenant and namespace and returns `kolm-<tenant>-<namespace>`.","Two tenants using the same namespace do not collide in qmd collection names.","This is a useful isolation primitive.","Keep tenant-prefixed namespaces and expose display names separately from internal names.","solid","src/recall.js"
"RMG-004","2026-05-12","Availability","Recall status exposes qmd availability.","`/v1/recall/status` calls `recall.isAvailable()` and optional namespace status.","Tenants can see whether the substrate is available.","Useful for diagnostics, but not enough for compile correctness.","Keep status and add health semantics for unavailable versus empty.","solid","src/router.js; src/recall.js; services/index/qmd.js"
"RMG-005","2026-05-12","Local BM25","Local RAG index/query is a real pure-JS path.","`node --check src/rag.js` and ESM import succeeded; code builds BM25 postings and query scores from local files.","Local BM25 exists independently of qmd and network services.","This is a solid local recall base.","Add fixture tests for index, query, list, and update behavior.","solid","src/rag.js; cli/kolm.js; docs/RAG.md"
"RMG-006","2026-05-12","Artifact index slot","Artifacts can carry an optional `KOLMIDX` lookup container.","`encodeIndex` and `decodeIndex` use `KOLMIDX` magic and tolerate empty buffers.","The artifact format has a safe placeholder for future index payloads.","This supports an incremental path to artifact-bound recall.","Add fixtures for empty, valid, and corrupt index containers.","solid","src/artifact.js; src/artifact-runner.js; docs/AUTHORING.md"
"RMG-007","2026-05-12","Verified wrap grounding","Verified wrap can use recall snippets when qmd returns chunks.","`POST /v1/wrap/verified` prepends retrieved snippets into the system prompt and returns `_kolm.recall_chunks`.","This is the clearest shipped path where recall changes model input.","Useful preview, with graceful degradation.","Expose whether grounding was unavailable versus empty.","solid","src/router.js"
"RMG-008","2026-05-12","Compile grounding","Compile uses recalled chunks to shape the artifact.","`runJob` queries recall chunks and records `recall.done`.","The retrieved chunks are not passed into `ctx.synthesize`, eval generation, or packaging except as a namespace marker.","Artifacts can imply corpus grounding without corpus-derived behavior.","Feed chunks into synthesis/evals and store chunk hashes or label them unused.","open","src/compile.js; src/router.js"
"RMG-009","2026-05-12","Artifact-bound recall","Compiled artifacts include the populated recall index when a corpus is supplied.","`buildAndZip` receives `recall_namespace` but no `index` from the compile route.","The manifest may show a recall namespace while `index.sqlite-vec` remains empty.","Buyers may think corpus evidence is inside the file when it is external or absent.","Embed `KOLMIDX`/sqlite-vec payloads or mark artifacts as externally grounded.","open","src/compile.js; src/artifact.js"
"RMG-010","2026-05-12","CLI data path","`kolm compile --data` works for ordinary hosted SaaS local folders.","CLI sends `path.resolve(dataDir)` to hosted `/v1/embed`.","The server route requires the path to exist on the server under the tenant recall root.","Most remote users will silently compile without corpus after ingest failure.","Split local/offline data compile from server-mounted hosted embed and fail clearly.","open","cli/kolm.js; src/router.js"
"RMG-011","2026-05-12","Embed response contract","`/v1/embed` returns the documented `{ indexed, skipped, namespace }` response.","`public/api.html` shows `indexed` and `skipped`.","Actual route returns `namespace`, `tokenized`, `registered`, `embedded`, and `embed_error`.","SDKs and docs can mis-handle ingest results.","Update API docs or normalize the route response.","open","public/api.html; src/router.js; src/recall.js"
"RMG-012","2026-05-12","Namespace display","Recall APIs return the caller's namespace.","`recall.ingest` returns internal `kolm-<tenant>-<namespace>` names, while `/v1/recall` returns the raw requested namespace.","The same namespace can appear in two shapes across endpoints.","Users and CLI output can confuse display namespace with qmd collection id.","Return both `namespace` and `internal_namespace` intentionally.","open","src/recall.js; src/router.js"
"RMG-013","2026-05-12","qmd dependency","Hosted recall has an installed in-repo backend by default.","qmd is invoked as an external CLI or HTTP MCP service; `package.json` has no qmd dependency.","Recall can be unavailable in default installs and queries degrade to empty.","Default deployments may look like empty recall rather than unavailable recall.","Document qmd as required for hosted recall and surface unavailable state in queries.","open","services/index/qmd.js; package.json"
"RMG-014","2026-05-12","Multimodal sidecars","Images, audio, video, and PDFs are fully tokenized locally.","Sidecar code supports text/code passthrough, optional pdf-parse, Anthropic image captions when keyed, and placeholders for audio/video/PDF fallback.","CLIP, Whisper, CLAP, scene detection, and full local multimodal paths are not implemented here.","Public multimodal claims can overstate shipped capability.","Publish a mode table and gate claims by dependency and configured backend.","open","services/embed/multimodal.js; public/recall.html"
"RMG-015","2026-05-12","Source preview containment","Recall source preview uses the same strict tenant containment as embed.","`/v1/recall/sources/:id(*)` checks `full.startsWith(lookupRoot)`.","The check is not separator-aware and is weaker than `/v1/embed`'s tenant-root check.","Sibling-prefix paths can be mishandled on some path shapes.","Use a shared `isSubpath(root, child)` helper and test path traversal cases.","open","src/router.js"
"RMG-016","2026-05-12","Source preview privacy","Recall source preview avoids leaking server paths or excessive text.","The route returns `sidecar` as an absolute path plus up to 4 KB preview after reading the whole file.","Tenants can see server filesystem structure and preview sensitive sidecar text.","Source debug output needs stricter data minimization.","Return relative ids, stream/cap reads, and audit source-preview access.","open","src/router.js"
"RMG-017","2026-05-12","Local RAG runtime","Attached local RAG indexes expose `lib.rag.query` to recipes.","`src/rag.js` defines `ragLibFor`, and CLI/help docs describe `lib.rag`.","Source search found no `ragLibFor` integration in `runArtifact`; `compileJs` exposes `pack`, `index`, and `params`.","Recipes that rely on `lib.rag` can fail despite successful attach.","Wire `ragLibFor` into `runArtifact` and add a fixture recipe test.","open","src/rag.js; src/artifact-runner.js; src/verifier.js; cli/kolm.js; docs/RAG.md"
"RMG-018","2026-05-12","RAG docs","`docs/RAG.md` shipped status matches runtime behavior.","Docs say BM25 and `lib.rag` are shipped and exposed inside the recipe sandbox.","The BM25 index/query path is real, but sandbox exposure is not proven or wired in current runner code.","Docs can push users into an unsupported recipe API.","Downgrade `lib.rag` wording until runner integration and tests land.","open","docs/RAG.md; src/artifact-runner.js; src/verifier.js"
"RMG-019","2026-05-12","Signed attachment","`kolm rag attach` makes recall evidence part of the signed artifact.","Attach writes `<artifact>.rag.json` beside the artifact and docs note the artifact is not re-signed.","The sidecar can change without invalidating the artifact signature.","Signed-artifact claims should not include unsigned local sidecars.","Either embed and re-sign the index or label sidecar recall as local unsigned attachment.","open","src/rag.js; cli/kolm.js; docs/RAG.md"
"RMG-020","2026-05-12","Public Recall hero","Approved context is embedded inside every signed `.kolm`.","Recall meta copy says approved context is embedded inside every signed artifact.","Current artifacts can have empty index slots and optional recall namespace metadata only.","Hero-level copy conflicts with current artifact contents.","Use the honest disclosure wording as the primary claim until embedding ships.","open","public/recall.html; src/artifact.js"
"RMG-021","2026-05-12","Vector/RRF/rerank","Recall ships BM25 plus vector, RRF, and cross-encoder rerank.","Public Recall describes bge-m3, vector recall, RRF, and cross-encoder rerank.","The repo delegates to qmd if available and local `kolm rag` is BM25 only.","Specific model/retrieval claims need backend proof and benchmarks.","Scope vector/RRF/rerank to qmd-backed deployments and add smoke reports.","open","public/recall.html; services/index/qmd.js; src/rag.js"
"RMG-022","2026-05-12","API multimodal claim","`/v1/recall` is multimodal for text, image, audio, video, and PDF.","API docs list multimodal recall support.","Multimodal ingestion mostly creates placeholders unless optional/external tools are present, and recall query only reads qmd results.","The endpoint can be marketed as broader than default behavior.","Document default modalities and dependency-gated modes.","open","public/api.html; services/embed/multimodal.js"
"RMG-023","2026-05-12","Storage security","Recall corpus is encrypted and durable by default.","Security page says recall corpus is in your namespace, encrypted, durable.","Hosted sidecars are written next to source files; local BM25 indexes are JSON under `~/.kolm/rag`; no encryption or durability controls were found.","Storage posture depends on deployment, not default code.","Tie encryption/durability claims to deployment controls and add local file permission policy.","open","public/security.html; services/embed/multimodal.js; src/rag.js"
"RMG-024","2026-05-12","Retention and deletion","Recall namespaces can be deleted or purged.","Source search found no recall purge/delete/retention route or CLI command.","Corpus sidecars and local indexes can persist indefinitely.","Regulated deployments need delete and retention controls.","Add namespace delete, sidecar cleanup, and local index removal workflows.","open","src/router.js; src/rag.js; services/embed/multimodal.js"
"RMG-025","2026-05-12","Test coverage","Recall/RAG behavior is launch-blocking tested.","Search found no tests for recall, embed, qmd, local RAG, `lib.rag`, or source preview boundaries.","Recall claims can regress silently.","Public recall and artifact-bound context claims can ship without executable proof.","Add route, unit, CLI, and artifact-runner tests before marketing recall as shipped.","open","tests/*.test.js; sdk/node/test/sdk.test.mjs"
"RMG-026","2026-05-12","Memory recall route","`/v1/memory/recall` queries the memory/recall corpus.","The route searches the registry for concepts with an optional tag and runs matched concepts.","It does not call `recall.query` or inspect qmd/local RAG indexes.","The route name can mislead API users and docs authors.","Rename or document it as concept recall/composition, not corpus memory recall.","open","src/router.js"
"RMG-027","2026-05-12","Assistant locality","Assistant prompts never leave the user's box.","Assistant code is rule-based and does not call an LLM.","It is still a hosted `/v1/assistant` route that receives prompts and can return tenant email/status data.","The no-telemetry/no-box wording needs deployment context.","Phrase as no LLM round-trip and authenticated tenant-scoped server route.","open","src/assistant.js; src/router.js; public/docs.html"
"RMG-028","2026-05-12","Silent degradation","Recall failures are visible to callers.","`recall.query` catches qmd failures and returns an empty array; wrap/compile also gracefully continue.","Unavailable recall can be indistinguishable from no relevant chunks.","Users may believe grounding was applied when it was not.","Return `available`, `degraded`, or `grounding_error` metadata in recall-dependent responses.","open","src/recall.js; src/router.js; src/compile.js"
"RMG-029","2026-05-12","Local index privacy","Local BM25 index avoids storing sensitive paths and previews.","`index.json` stores absolute paths in `docs[].abs`, manifest root, and document previews.","Local indexes are easy to inspect and may expose source locations/content snippets.","Users need explicit storage and redaction guidance.","Add opt-out for absolute paths/previews and document local index sensitivity.","open","src/rag.js; docs/RAG.md"
"RMG-030","2026-05-12","Whitepaper contract","Normative recall format matches v0.1 implementation.","Whitepaper marks `index.sqlite-vec` required if corpus supplied and shows recall keys such as embedder, chunks, and index hash.","v0.1 implementation note says sqlite-vec is roadmap, while compile does not populate the index for corpus namespaces.","Spec readers can overestimate conformance of current artifacts.","Separate normative future format from current implementation conformance tests.","open","public/whitepaper.html; src/compile.js; src/artifact.js"
